end_station_name,member_casual,total_trips_end_station
State St & 95th St,casual,31
Western Ave & Howard St,casual,31
Base - 2132 W Hubbard Warehouse,member,30
Cottage Grove Ave & 63rd St,member,30
Dodge Ave & Main St,casual,30
Hampden Ct & Diversey Ave,casual,30
Kedzie Ave & Chicago Ave,member,30
Ridge Blvd & Howard St,casual,30
Western Blvd & 48th Pl,casual,30
Wood St & 35th St,member,30
Clark St & Jarvis Ave,casual,29
Damen Ave & Coulter St,member,29
Dodge Ave & Mulford St,member,29
Kildare Ave & Montrose Ave,casual,29
Lincolnwood Dr & Central St,casual,29
Prospect Sq & 91st St,casual,29
Elmwood Ave & Austin St,casual,28
Millard Ave & 26th St,casual,28
Pulaski Rd & Eddy St (Temp),casual,28
W Armitage Ave & N Sheffield Ave,casual,28
California Ave & 23rd Pl,casual,27
Central Park Ave & North Ave,member,27
Knox Ave & Montrose Ave,casual,27
Marshfield Ave & 44th St,member,27
Wolcott Ave & Fargo Ave,casual,27
Austin Blvd & Lake St,member,26
Indiana Ave & 40th St,member,26
MLK Jr Dr & 63rd St,member,26
Archer (Damen) Ave & 37th St,member,25
Calumet Ave & 51st St,member,25
Sacramento Blvd & Franklin Blvd,casual,25
State St & Chicago Ave,casual,25
Bosworth Ave & Howard St,casual,24
Maplewood Ave & Peterson Ave,member,24
Morgan St & Pershing Rd,member,24
Oakley Ave & Touhy Ave,member,24
Union Ave & Root St,casual,24
Damen Ave & Pershing Rd,casual,23
Dorchester Ave & 63rd St,member,23
DuSable Museum,casual,23
Kedzie Ave & 21st St,casual,23
Stony Island Ave & 75th St,casual,23
Wolcott Ave & Fargo Ave,member,23
Chicago State University,member,22
Halsted St & 47th Pl,casual,22
Kilbourn Ave & Milwaukee Ave,casual,22
Knox Ave & Montrose Ave,member,22
Lawndale Ave & 111th St,casual,22
MLK Jr Dr & 47th St,member,22
Phillips Ave & 79th St,casual,22
Rainbow Beach,casual,22
State St & 123rd St,casual,22
Base - 2132 W Hubbard Warehouse,casual,21
Central Ave & Lake St,casual,21
Kedzie Ave & Lake St,member,21
Kilbourn Ave & Milwaukee Ave,member,21
N Sheffield Ave & W Wellington Ave,member,21
Wabash Ave & 87th St,casual,21
Big Marsh Park,casual,20
Chicago State University,casual,20
Loomis Blvd & 84th St,casual,20
N Carpenter St & W Lake St,member,20
Princeton Ave & 47th St,member,20
Pulaski Rd & Congress Pkwy,casual,20
Pulaski Rd & Lake St,casual,20
Sacramento Blvd & Franklin Blvd,member,20
Ashland Ave & Pershing Rd,member,19
Central Ave & Madison St,member,19
Central Park Ave & Ogden Ave,member,19
Central Park Blvd & 5th Ave,casual,19
Damen Ave & Pershing Rd,member,19
Jeffery Blvd & 76th St,casual,19
Princeton Ave & Garfield Blvd,casual,19
Stony Island Ave & South Chicago Ave,casual,19
Central Park Ave & 24th St,casual,18
Cottage Grove Ave & 83rd St,casual,18
Damen Ave & 59th St,casual,18
Dodge Ave & Main St,member,18
Kedzie Ave & 24th St,casual,18
MLK Jr Dr & 56th St,casual,18
N Southport Ave & W Newport Ave,casual,18
State St & 79th St,casual,18
Stony Island Ave & 64th St,member,18
Ashland Ave & Pershing Rd,casual,17
California Ave & 26th St,member,17
Hermitage Ave & Polk St,casual,17
Hoyne Ave & 47th St,member,17
State St & Pershing Rd,casual,17
Vincennes Ave & 75th St,casual,17
Ellis Ave & 83rd St,casual,16
Indiana Ave & 40th St,casual,16
Kilbourn Ave & Irving Park Rd,casual,16
Latrobe Ave & Chicago Ave,casual,16
MLK Jr Dr & 63rd St,casual,16
Princeton Ave & 47th St,casual,16
Pulaski Rd & Eddy St (Temp),member,16
Summit Ave & 86th St,casual,16
Yates Blvd & 75th St,casual,16
Albany Ave & 26th St,casual,15
Austin Blvd & Chicago Ave,casual,15
Central Ave & Chicago Ave,casual,15
Eberhart Ave & 91st St,casual,15
Eggleston Ave & 92nd St,casual,15
Greenwood Ave & 97th St,casual,15
Hoyne Ave & 47th St,casual,15
Kilbourn Ave & Irving Park Rd,member,15
Stony Island Ave & 75th St,member,15
Ashland Ave & 50th St,casual,14
Ashland Ave & McDowell Ave,member,14
Austin Blvd & Madison St,casual,14
Greenwood Ave & 79th St,casual,14
Jeffery Blvd & 67th St,member,14
Long & Irving Park,casual,14
Loomis St & 89th St,casual,14
Marquette Ave & 89th St,casual,14
Baltimore Ave & 87th St,casual,13
Burnham Greenway & 105th St,casual,13
Cottage Grove Ave & 111th Pl,casual,13
Cottage Grove Ave & 78th St,casual,13
Evans Ave & 75th St,casual,13
Exchange Ave & 79th St,casual,13
Homewood Ave & 115th St,casual,13
Millard Ave & 26th St,member,13
N Carpenter St & W Lake St,casual,13
Perry Ave & 69th St,casual,13
Walden Pkwy & 100th St,casual,13
Western Ave & 111th St,casual,13
Austin Blvd & Madison St,member,12
Clyde Ave & 87th St,casual,12
Commercial Ave & 130th St,casual,12
Cornell Dr & Hayes Dr,member,12
Hale Ave & 107th St,casual,12
Halsted & 63rd - Kennedy-King Vaccination Site,casual,12
Kedzie Ave & Harrison St,casual,12
Lockwood Ave & Wrightwood Ave,casual,12
May St & 69th St,casual,12
Milwaukee Ave & Fullerton Ave,member,12
Princeton Ave & Garfield Blvd,member,12
South Shore Dr & 74th St,member,12
Stewart Ave & 83rd St,casual,12
Vernon Ave & 75th St,casual,12
W Washington Blvd & N Peoria St,member,12
Wentworth Ave & 63rd St,casual,12
Ashland Ave & 63rd St,casual,11
Cicero Ave & Lake St,casual,11
Cottage Grove Ave & 71st St,casual,11
Dauphin Ave & 87th St,casual,11
Karlov Ave & Madison St,casual,11
Laramie Ave & Madison St,casual,11
Major Taylor Trail & 115th St,casual,11
Marshfield Ave & 44th St,casual,11
Michigan Ave & 114th St,casual,11
Mulligan Ave & Wellington Ave,casual,11
Mulligan Ave & Wellington Ave,member,11
N Southport Ave & W Newport Ave,member,11
Racine Ave & Garfield Blvd,casual,11
South Chicago Ave & 83rd St,casual,11
State St & 95th St,member,11
State St & Pershing Rd,member,11
Wentworth Ave & 104th St,casual,11
Western Ave & 104th St,casual,11
Ashland Ave & Garfield Blvd,casual,10
California Ave & 26th St,casual,10
Halsted St & 104th St,casual,10
Jeffery Blvd & 71st St,member,10
Michigan Ave & 71st St,casual,10
MLK Jr Dr & 56th St,member,10
MLK Jr Dr & 83rd St,casual,10
N Paulina St & Lincoln Ave,casual,10
Seeley Ave & Garfield Blvd,casual,10
State St & 54th St,casual,10
Stony Island Ave & 82nd St,casual,10
Vincennes Ave & 104th St,casual,10
W 103rd St & S Avers Ave,casual,10
Wentworth Ave & 63rd St,member,10
Ashland Ave & 66th St,casual,9
Ashland Ave & McDowell Ave,casual,9
Dauphin Ave & 103rd St,casual,9
Eberhart Ave & 61st St,member,9
Eggleston Ave & 69th St,casual,9
Elizabeth St & 92nd St,casual,9
Hale Ave & 107th St,member,9
Houston Ave & 92nd St,casual,9
Kedzie Ave & 110th St,casual,9
Kedzie Ave & 21st St,member,9
Kedzie Ave & George St,member,9
Kenton Ave & Madison St,casual,9
Kostner Ave & Lake St,casual,9
Laramie Ave & Gladys Ave,casual,9
Morgan St & Pershing Rd,casual,9
Narragansett & Wrightwood,casual,9
Stewart Ave & 63rd St,casual,9
Stony Island Ave & 90th St,casual,9
Austin Blvd & Chicago Ave,member,8
Bennett Ave & 79th St,casual,8
Big Marsh Park,member,8
Bradley Park,casual,8
California Ave & Winona St,member,8
Central Ave & Harrison St,casual,8
Central Ave & Madison St,casual,8
Commercial Ave & 100th St,casual,8
Constance Ave & 95th St,casual,8
Cottage Grove Ave & 67th St,member,8
Eberhart Ave & 131st St,casual,8
Exchange Ave & 79th St,member,8
Halsted St & 111th St,casual,8
Halsted St & 51st St,member,8
Halsted St & 69th St,casual,8
Kilbourn & Belden,casual,8
Laramie Ave & Kinzie St,casual,8
Lincoln Ave & Balmoral Ave,member,8
N Paulina St & Lincoln Ave,member,8
Oak Park & Wellington,casual,8
Phillips Ave & 83rd St,casual,8
Plainfield & Irving Park,casual,8
South Chicago Ave & Elliot Ave,casual,8
State St & 54th St,member,8
Stony Island Ave & 67th St,member,8
Troy St & Grace St,member,8
W Washington Blvd & N Peoria St,casual,8
WEST CHI-WATSON,casual,8
Western Ave & Gunnison St,member,8
Western Blvd & 48th Pl,member,8
Woodlawn Ave & 75th St,casual,8
Ada St & 113th St,casual,7
Altgeld Gardens,casual,7
Ashland Ave & 78th St,casual,7
Central Park Ave & 24th St,member,7
Central Park Blvd & 5th Ave,member,7
Cicero Ave & Quincy St,casual,7
Damen Ave & 51st St,casual,7
East End Ave & 87th St,member,7
Kilpatrick Ave & Parker Ave,casual,7
Kostner Ave & Adams St,casual,7
Kostner Ave & Wrightwood Ave,casual,7
Lockwood Ave & Wrightwood Ave,member,7
Major Taylor Trail & 124th St,casual,7
Orange & Addison,casual,7
Phillips Ave & 79th St,member,7
Rainbow Beach,member,7
Torrence Ave & 126th Pl,casual,7
Vernon Ave & 107th St,casual,7
Vernon Ave & 79th St,casual,7
Albany Ave & Belmont Ave,member,6
Ashland Ave & 63rd St,member,6
Ashland Ave & 74th St,member,6
Central Park Ave & Douglas Blvd,casual,6
Cicero Ave & Flournoy St,casual,6
Clyde Ave & 87th St,member,6
Cottage Grove Ave & 78th St,member,6
East End Ave & 87th St,casual,6
Elizabeth St & 47th St,casual,6
Greenwood Ave & 91st St,casual,6
Halsted St & 111th St,member,6
Halsted St & 59th St,casual,6
Halsted St & 78th St,casual,6
Halsted St & 96th St,member,6
Kedzie Ave & 48th Pl,casual,6
Kedzie Ave & Harrison St,member,6
Kostner Ave & Adams St,member,6
Loomis Blvd & 84th St,member,6
Milwaukee Ave & Fullerton Ave,casual,6
Rockwell St & Fletcher St,casual,6
Vernon Ave & 79th St,member,6
Vincennes Ave & 104th St,member,6
Wabash Ave & 83rd St,member,6
Yates Blvd & 93rd St,casual,6
Ashland Ave & 74th St,casual,5
Avenue O & 118th St,casual,5
Baltimore Ave & 87th St,member,5
Calumet Ave & 71st St,casual,5
Carpenter St & 63rd St,casual,5
Halsted & 63rd - Kennedy-King Vaccination Site,member,5
Halsted St & 56th St,casual,5
Halsted St & 96th St,casual,5
Harlem & Irving Park,casual,5
Hegewisch Metra Station,casual,5
Indiana Ave & 103rd St,casual,5
Kedzie Ave & 24th St,member,5
Kedzie Ave & George St,casual,5
Kilbourn & Roscoe,casual,5
Kildare Ave & Chicago Ave,casual,5
Kilpatrick Ave & Parker Ave,member,5
Komensky Ave & 31st St,member,5
Laramie Ave & Madison St,member,5
Lavergne & Fullerton,casual,5
Long & Irving Park,member,5
Mason Ave & Belmont Ave,casual,5
Meade Ave & Addison St,casual,5
Narragansett Ave & School St,casual,5
Pulaski Rd & Lake St,member,5
Rhodes Ave & 71st St,casual,5
State St & 76th St,casual,5
Stony Island Ave & 71st St,member,5
Stony Island Ave & 82nd St,member,5
Wabash Ave & 87th St,member,5
Albany Ave & 26th St,member,4
Avenue O & 134th St,casual,4
Central Ave & Lake St,member,4
Central Ave & Parker Ave,casual,4
Cicero Ave & Grace St,casual,4
Commercial Ave & 83rd St,casual,4
Cottage Grove Ave & 111th Pl,member,4
Cottage Grove Ave & 83rd St,member,4
Elston Ave & George St,casual,4
Elston Ave & George St,member,4
Ewing Ave & Burnham Greenway,member,4
Francisco Ave & 47th St,casual,4
Halsted St & 51st St,casual,4
Indiana Ave & 103rd St,member,4
Jeffery Blvd & 76th St,member,4
Kedzie Ave & 104th St,casual,4
Kenosha & Wellington,casual,4
Lamon Ave & Belmont Ave,member,4
Long Ave & Belmont Ave,member,4
Marshfield Ave & 59th St,casual,4
May St & 69th St,member,4
Meade Ave & Addison St,member,4
Meade Ave & Diversey Ave,casual,4
Nordica & Medill,member,4
Oglesby Ave & 100th St,casual,4
Racine Ave & 61st St,casual,4
Rockwell St & Archer Ave,casual,4
Shields Ave & 43rd St,member,4
Spaulding Ave & 16th St,casual,4
State St & 79th St,member,4
Stony Island Ave & 90th St,member,4
Throop St & 52nd St,casual,4
Walden Pkwy & 100th St,member,4
Western & 28th - Velasquez Institute Vaccination Site,member,4
Yates Blvd & 75th St,member,4
Ashland Ave & 78th St,member,3
Central Ave & Harrison St,member,3
Dauphin Ave & 87th St,member,3
Eberhart Ave & 91st St,member,3
Elizabeth St & 59th St,casual,3
Elston Ave & Henderson St,casual,3
Evans Ave & 75th St,member,3
Ewing Ave & Burnham Greenway,casual,3
Francisco Ave & Bloomingdale Ave,casual,3
Greenwood Ave & 91st St,member,3
Homewood Ave & 115th St,member,3
Houston Ave & 92nd St,member,3
Kedzie Ave & 52nd St,member,3
Kedzie Ave & 57th St,casual,3
Kilbourn & Belden,member,3
Komensky Ave & 55th St,casual,3
Lamon Ave & Belmont Ave,casual,3
Laramie Ave & Kinzie St,member,3
Latrobe Ave & Chicago Ave,member,3
Lawndale Ave & 30th St,casual,3
Long Ave & Belden Ave,casual,3
Major Taylor Trail & 115th St,member,3
Menard Ave & Division St,casual,3
MLK Jr Dr & 83rd St,member,3
N Damen Ave & W Chicago Ave,member,3
N Shore Channel Trail & Argyle St,casual,3
Narragansett & Irving Park,casual,3
Nordica & Medill,casual,3
Oak Park & Wellington,member,3
Oketo Ave & Addison St,casual,3
Panama Ave & Grace St,casual,3
Perry Ave & 69th St,member,3
Prospect Sq & 91st St,member,3
Pulaski Rd & 21st St,casual,3
Pulaski Rd & 21st St,member,3
Pulaski Rd & 51st St,casual,3
Pulaski Rd & 51st St,member,3
Racine Ave & 65th St,casual,3
Rockwell St & Cermak Rd,casual,3
Rockwell St & Fletcher St,member,3
Sacramento Blvd & Addison St,casual,3
Sayre & Diversey,casual,3
Shields Ave & 43rd St,casual,3
St Louis Ave & 59th St,casual,3
Stony Island Ave & South Chicago Ave,member,3
Torrence Ave & 106th St,casual,3
Tripp Ave & 65th St,casual,3
W 103rd St & S Avers Ave,member,3
Wabash Ave & 83rd St,casual,3
Western & 28th - Velasquez Institute Vaccination Site,casual,3
Western Ave & Gunnison St,casual,3
Wilton Ave & Diversey Pkwy - Charging,member,3
Yates Blvd & 93rd St,member,3
Albany Ave & Belmont Ave,casual,2
Ashland Ave & 66th St,member,2
Avenue O & 118th St,member,2
Avenue O & 134th St,member,2
Bennett Ave & 79th St,member,2
Burnham Greenway & 105th St,member,2
Burnham Greenway & 112th St,casual,2
Calumet Ave & 71st St,member,2
Calumet Park,member,2
Campbell Ave & 51st St,casual,2
Carpenter St & 63rd St,member,2
Central Ave & Roscoe St,member,2
Commercial Ave & 130th St,member,2
Damen Ave & 59th St,member,2
Eggleston Ave & 69th St,member,2
Elizabeth St & 47th St,member,2
Halsted St & 56th St,member,2
Halsted St & 69th St,member,2
Halsted St & 73rd St,casual,2
Harding Ave & 26th St,member,2
Harlem Ave & Grace St,casual,2
Kedzie Ave & Roosevelt Rd,member,2
Keeler Ave & Roosevelt Rd,casual,2
Kostner Ave & Wrightwood Ave,member,2
Lavergne & Fullerton,member,2
Lavergne Ave & Division St,casual,2
Leamington Ave & Hirsch St,casual,2
Lincoln Ave & Peterson Ave,casual,2
Lincoln Ave & Peterson Ave,member,2
Long Ave & Belden Ave,member,2
Long Ave & North Ave,casual,2
Major Ave & Bloomingdale Ave,casual,2
Maryland Ave & 104th St,casual,2
Meade Ave & Diversey Ave,member,2
N Damen Ave & W Chicago Ave,casual,2
Narragansett & McLean,casual,2
Narragansett & Wrightwood,member,2
North Ave & New England Ave,casual,2
Parkside Ave & Armitage Ave,casual,2
Pulaski Rd & Congress Pkwy,member,2
Racine Ave & 61st St,member,2
Racine Ave & Garfield Blvd,member,2
Rockwell St & Archer Ave,member,2
Rockwell St & Cermak Rd,member,2
S Aberdeen St & W 106th St,casual,2
Sacramento Ave & Pershing Rd,casual,2
Sacramento Blvd & Addison St,member,2
Seeley Ave & Garfield Blvd,member,2
South Chicago Ave & 83rd St,member,2
Springfield Ave & 47th St,casual,2
St Louis Ave & Norman Bobbins Ave,casual,2
Summit Ave & 86th St,member,2
Tripp Ave & 31st St,casual,2
Vernon Ave & 75th St,member,2
Virginia Ave & Catalpa Ave,member,2
Wentworth Ave & 104th St,member,2
Western Ave & 104th St,member,2
Western Ave & Grace St,casual,2
Whipple/Irving Park,casual,2
Woodlawn & 103rd - Olive Harvey Vaccination Site,casual,2
Ada St & 113th St,member,1
Archer Ave & 43rd St,casual,1
Artesian Ave & 55th St,casual,1
Ashland Ave & 50th St,member,1
Bloomingdale Ave & Harlem Ave,casual,1
Bloomingdale Ave & Harlem Ave,member,1
Burnham Greenway & 112th St,member,1
California & 16th St,casual,1
California & 16th St,member,1
California Ave & 29th St,casual,1
Central Ave & Roscoe St,casual,1
Central Park & Augusta Blvd,casual,1
Central Park & Augusta Blvd,member,1
Central Park Ave & Ohio St,casual,1
Cicero Ave & Flournoy St,member,1
Cicero Ave & Lake St,member,1
Cottage Grove Ave & 71st St,member,1
Damen Ave & 51st St,member,1
Dauphin Ave & 103rd St,member,1
DIVVY CASSETTE REPAIR MOBILE STATION,casual,1
Doty Ave & 111th St,member,1
Eberhart Ave & 131st St,member,1
Eggleston Ave & 92nd St,member,1
Elston Ave & Henderson St,member,1
Francisco Ave & Bloomingdale Ave,member,1
Greenwood Ave & 79th St,member,1
Halsted St & 59th St,member,1
Halsted St & 78th St,member,1
Harlem & Irving Park,member,1
Hegewisch Metra Station,member,1
Homan Ave & Fillmore St,casual,1
Karlov Ave & Madison St,member,1
Kedzie Ave & 52nd St,casual,1
Kenosha & Wellington,member,1
Kenton Ave & Madison St,member,1
Kilbourn & Roscoe,member,1
Kildare Ave & 55th St,casual,1
Kildare Ave & Division St,casual,1
Kildare Ave & Division St,member,1
Kilpatrick Ave & Grand Ave,casual,1
Komensky Ave & 31st St,casual,1
Kostner Ave & 63rd St,casual,1
Kostner Ave & Lake St,member,1
La Villita Park (Albany/30th),casual,1
Lamon Ave & Armitage Ave,casual,1
Lamon Ave & Armitage Ave,member,1
Lamon Ave & Chicago Ave,casual,1
Lavergne Ave & 46th St,casual,1
Lawler Ave & 50th St,casual,1
Lawler Ave & 50th St,member,1
Lawndale Ave & 111th St,member,1
Lawndale Ave & 16th St,casual,1
Lawndale Ave & 30th St,member,1
Lincoln Ave & Balmoral Ave,casual,1
Lincoln Ave & Roscoe St - Charging,member,1
Marquette Ave & 89th St,member,1
Mason Ave & Belmont Ave,member,1
Menard Ave & Division St,member,1
Michigan Ave & 71st St,member,1
Monticello Ave & Chicago Ave,member,1
Mozart St & Jackson Blvd,casual,1
Mozart St & Jackson Blvd,member,1
N Clark St & W Elm St,member,1
Narragansett & McLean,member,1
Oglesby Ave & 100th St,member,1
Ping Tom Park (East),member,1
Plainfield & Irving Park,member,1
Pulaski & Ann Lurie Pl,member,1
Racine Ave & 65th St,member,1
Richmond St & 59th St,casual,1
Richmond St & Lincoln Ave,casual,1
Richmond St & Lincoln Ave,member,1
Roscoe & Harlem,casual,1
Roscoe & Harlem,member,1
S Wentworth Ave & W 111th St,casual,1
Sacramento Ave & 25th St,casual,1
Sacramento Ave & Pershing Rd,member,1
Sacramento Blvd & Polk St,casual,1
Shabbona Park,member,1
St Louis Ave & Norman Bobbins Ave,member,1
Steelworkers Park,member,1
Stewart Ave & 63rd St,member,1
Throop St & 52nd St,member,1
Tripp Ave & 15th St,casual,1
Troy St & Grace St,casual,1
Vincennes Ave & 75th St,member,1
Virginia Ave & Catalpa Ave,casual,1
Washtenaw Ave & Peterson Ave,casual,1
Washtenaw Ave & Polk St,casual,1
Western Ave & 62nd St,casual,1
Western Ave & 62nd St,member,1
Western Ave & Ardmore Ave,casual,1
Western Ave & Ardmore Ave,member,1
Western Ave & Grace St,member,1
Whipple St & Irving Park Rd,member,1
